LastUpdated,Postal_Code,City,NO2,O3,PM10,PM2.5,Latitude,Longitude,Country.Label,Department,Region,Altitude Moyenne,Superficie,p16_pop,p17_pop,p18_pop,p19_pop,p20_pop,p21_pop,p24_pop
2024-09-18 23:00:00,14150,Ouistreham,,63.5,,,49.2894440002822,-0.257778000020585,France,Calvados,Normandie,7.0,1127.0,9117.0,9081,9250.0,9344.0,9438.0,9331.0,9344.0
2022-12-12 10:00:00,14370,Moult-Chicheboville,8.5,,15.7,1.2,49.117192768241,-0.169665706026938,France,Calvados,Normandie,36.0,1018.0,2966.0,3095,3202.0,3273.0,3344.0,3378.0,1723.0
2024-09-10 20:00:00,14600,Honfleur,,53.3,10.0,,49.4151080002733,0.24369999994322,France,Calvados,Normandie,47.0,1369.0,7728.0,7425,7138.0,6733.0,6742.0,6761.0,1212.0
2024-09-16 14:00:00,14800,Touques,,55.9,,,49.3479999999776,0.109252999751728,France,Calvados,Normandie,61.0,815.0,3719.0,3679,3676.0,3731.0,3744.0,3802.0,325.0
2024-09-16 14:00:00,15000,Aurillac,4.7,58.8,5.0,2.6,44.9200800000815,2.44108199977878,France,Cantal,Auvergne-Rhône-Alpes,668.0,2916.0,25954.0,25499,25531.0,25593.0,25703.0,25815.0,25593.0
2024-09-16 14:00:00,15500,Rageade,,68.2,8.4,6.3,45.1047200002589,3.27736100030782,France,Cantal,Auvergne-Rhône-Alpes,1050.0,1257.0,97.0,100,102.0,103.0,103.0,102.0,147.0
2024-09-16 14:00:00,16000,Angoulême,12.9,82.1,13.6,7.4,45.6474269998404,0.16716199982047,France,Charente,Nouvelle-Aquitaine,61.0,2169.0,41935.0,41740,41711.0,41603.0,41407.0,41086.0,41603.0
2020-01-13 11:00:00,16400,La Couronne,13.0,45.1,13.6,,45.6088219994633,0.099722,France,Charente,Nouvelle-Aquitaine,73.0,2877.0,7694.0,7732,7759.0,7764.0,7742.0,7753.0,7764.0
2024-03-04 07:00:00,17000,La Rochelle,21.5,36.3,11.6,3.4,46.162556,-1.153603,France,Charente-Maritime,Nouvelle-Aquitaine,9.0,3168.0,75736.0,75735,76114.0,77205.0,77210.0,78535.0,77205.0
2024-09-16 08:00:00,17000,La Rochelle,8.9,56.3,11.7,2.4,46.1626469998923,-1.15368399985315,France,Charente-Maritime,Nouvelle-Aquitaine,9.0,3168.0,75736.0,75735,76114.0,77205.0,77210.0,78535.0,77205.0
