Nom de la région,Code département,Nom de la commune,population_2016,Code INSEE
Grand Est,52,Bay-sur-Aube,52.0,52040.0
Hauts-de-France,60,Candor,300.0,60124.0
Bourgogne-Franche-Comté,89,Thizy,209.0,89412.0
Nouvelle-Aquitaine,17,La Chapelle-des-Pots,1016.0,17089.0
Île-de-France,78,Chavenay,1877.0,78152.0
Auvergne-Rhône-Alpes,38,Theys,2031.0,38504.0
Grand Est,52,Rouelles,26.0,52437.0
Pays de la Loire,72,Dehault,278.0,72114.0
Auvergne-Rhône-Alpes,74,Scientrier,1200.0,74262.0
Bourgogne-Franche-Comté,70,Chassey-lès-Montbozon,223.0,70137.0
Hauts-de-France,62,Ligny-Saint-Flochel,271.0,62514.0
Hauts-de-France,59,Zegerscappel,1575.0,59666.0
Bourgogne-Franche-Comté,70,Preigney,109.0,70423.0
Auvergne-Rhône-Alpes,73,Sainte-Reine,158.0,73277.0
Île-de-France,91,Yerres,29132.0,91691.0
Centre-Val de Loire,18,Marmagne,2040.0,18138.0
Normandie,27,Charleval,1826.0,27151.0
Occitanie,81,Montfa,490.0,81177.0
Bourgogne-Franche-Comté,25,Meslières,380.0,25378.0
Nouvelle-Aquitaine,24,Sainte-Radegonde,65.0,24492.0
Normandie,27,Bézu-la-Forêt,313.0,27066.0
Provence-Alpes-Côte d'Azur,04,Salignac,653.0,4200.0
Nouvelle-Aquitaine,24,Sarlande,427.0,24519.0
Bourgogne-Franche-Comté,39,Saligney,191.0,39499.0
Grand Est,88,Bazoilles-sur-Meuse,622.0,88044.0
Grand Est,51,Drouilly,139.0,51220.0
Nouvelle-Aquitaine,24,Saint-Pierre-d'Eyraud,1804.0,24487.0
Auvergne-Rhône-Alpes,15,Saint-Amandin,231.0,15170.0
Normandie,14,Le Molay-Littry,3058.0,14370.0
Hauts-de-France,02,Saint-Algis,160.0,2670.0
Auvergne-Rhône-Alpes,74,Boëge,1769.0,74037.0
Bretagne,22,Plémy,1603.0,22184.0
Bretagne,35,Dingé,1681.0,35094.0
Nouvelle-Aquitaine,24,Les Coteaux Périgourdins,597.0,24117.0
Bourgogne-Franche-Comté,70,Ray-sur-Saône,211.0,70438.0
Centre-Val de Loire,45,Sceaux-du-Gâtinais,655.0,45303.0
Centre-Val de Loire,18,Lapan,205.0,18122.0
Auvergne-Rhône-Alpes,63,Saint-Quintin-sur-Sioule,393.0,63390.0
Auvergne-Rhône-Alpes,69,Saint-Germain-Nuelles,2330.0,69208.0
Nouvelle-Aquitaine,33,Camarsac,1012.0,33083.0
Grand Est,57,Biding,331.0,57082.0
Nouvelle-Aquitaine,17,Clavette,1376.0,17109.0
Auvergne-Rhône-Alpes,15,Saint-Georges,1208.0,15188.0
Grand Est,88,Coussey,750.0,88118.0
Provence-Alpes-Côte d'Azur,04,Peipin,1509.0,4145.0
Grand Est,54,Gondrexon,42.0,54233.0
Pays de la Loire,85,Saint-Maurice-le-Girard,605.0,85252.0
Hauts-de-France,59,Préseau,1944.0,59471.0
Bourgogne-Franche-Comté,21,Cléry,138.0,21180.0
Normandie,61,Coulonges-sur-Sarthe,547.0,61126.0
Occitanie,11,Montirat,81.0,11248.0
Normandie,27,Saint-Pierre-du-Vauvray,1307.0,27598.0
Auvergne-Rhône-Alpes,01,Nantua,3629.0,1269.0
Occitanie,12,Cabanès,253.0,12041.0
Normandie,27,Fourmetot,693.0,27263.0
Centre-Val de Loire,28,Chartainvilliers,740.0,28084.0
Occitanie,30,Peyremale,288.0,30194.0
Occitanie,31,Bourg-Saint-Bernard,1033.0,31082.0
Occitanie,31,Thil,1218.0,31553.0
Occitanie,34,Frontignan,22730.0,34108.0
Centre-Val de Loire,36,Fléré-la-Rivière,569.0,36074.0
Centre-Val de Loire,37,Marcé-sur-Esves,247.0,37145.0
Centre-Val de Loire,45,Cortrat,81.0,45105.0
Provence-Alpes-Côte d'Azur,06,Tourette-du-Château,128.0,6145.0
Auvergne-Rhône-Alpes,07,Saint-Genest-Lachamp,104.0,7239.0
Occitanie,11,Labécède-Lauragais,426.0,11181.0
Occitanie,12,Toulonjac,771.0,12281.0
Auvergne-Rhône-Alpes,15,Lapeyrugue,109.0,15093.0
Nouvelle-Aquitaine,17,Saint-Eugène,283.0,17326.0
Centre-Val de Loire,18,Ourouer-les-Bourdelins,617.0,18175.0
Nouvelle-Aquitaine,24,Saint-Capraise-d'Eymet,154.0,24383.0
Bourgogne-Franche-Comté,25,Saint-Antoine,356.0,25514.0
Auvergne-Rhône-Alpes,26,Montélier,4184.0,26197.0
Normandie,27,Connelles,200.0,27168.0
Grand Est,55,Cesse,122.0,55095.0
Grand Est,55,Mogeville,85.0,55339.0
Grand Est,57,Barchain,112.0,57050.0
Grand Est,57,Puzieux,192.0,57559.0
Hauts-de-France,60,Le Hamel,182.0,60297.0
Auvergne-Rhône-Alpes,63,Mons,549.0,63232.0
